date,county,fips,cases,deaths,tweets
4/30/2020,Nassau,0500000US36059,35854,2111,2019
4/30/2020,Suffolk,0500000US36103,33664,1228,0
4/30/2020,Bronx,0500000US36005,33498,2503,1
4/30/2020,Kings,0500000US36047,33498,2503,10914
4/30/2020,New York City,0500000US36061,33498,2503,1
4/30/2020,Queens,0500000US36081,33498,2503,6017
4/30/2020,Richmond,0500000US36085,33498,2503,932
4/30/2020,Westchester,0500000US36119,28969,1144,0
4/30/2020,Rockland,0500000US36087,11708,370,281
4/30/2020,Orange,0500000US36071,8665,237,350
4/30/2020,Erie,0500000US36029,3319,227,2127
4/30/2020,Dutchess,0500000US36027,2954,70,300
4/30/2020,Monroe,0500000US36055,1441,93,940
4/30/2020,Ulster,0500000US36111,1279,7,350
4/30/2020,Albany,0500000US36001,1165,53,600
4/30/2020,Putnam,0500000US36079,970,45,118
4/30/2020,Sullivan,0500000US36105,838,12,14
4/30/2020,Onondaga,0500000US36067,832,35,683
4/30/2020,Schenectady,0500000US36093,501,25,335
4/30/2020,Oneida,0500000US36065,439,14,227
4/30/2020,Niagara,0500000US36063,420,13,229
4/30/2020,Saratoga,0500000US36091,354,3,30
4/30/2020,Rensselaer,0500000US36083,287,20,255
4/30/2020,Broome,0500000US36007,284,15,146
4/30/2020,Steuben,0500000US36101,216,11,17
4/30/2020,Warren,0500000US36113,176,9,74
4/30/2020,St. Lawrence,0500000US36089,173,2,23
4/30/2020,Columbia,0500000US36021,170,16,15
4/30/2020,Genesee,0500000US36037,153,2,33
4/30/2020,Washington,0500000US36115,148,0,10
4/30/2020,Greene,0500000US36039,131,0,12
4/30/2020,Madison,0500000US36053,131,3,3
4/30/2020,Tompkins,0500000US36109,128,2,184
4/30/2020,Chemung,0500000US36015,122,3,82
4/30/2020,Chenango,0500000US36017,98,0,2
4/30/2020,Ontario,0500000US36069,90,4,64
4/30/2020,Orleans,0500000US36073,89,5,2
4/30/2020,Tioga,0500000US36107,88,6,31
4/30/2020,Fulton,0500000US36035,71,1,27
4/30/2020,Wayne,0500000US36117,71,0,17
4/30/2020,Livingston,0500000US36051,69,2,18
4/30/2020,Otsego,0500000US36077,67,5,11
4/30/2020,Wyoming,0500000US36121,65,3,19
4/30/2020,Oswego,0500000US36075,63,0,58
4/30/2020,Delaware,0500000US36025,61,0,8
4/30/2020,Jefferson,0500000US36045,61,0,29
4/30/2020,Clinton,0500000US36019,59,4,115
4/30/2020,Herkimer,0500000US36043,58,1,38
4/30/2020,Montgomery,0500000US36057,53,1,17
4/30/2020,Cayuga,0500000US36011,48,1,25
4/30/2020,Cattaraugus,0500000US36009,47,1,37
4/30/2020,Schoharie,0500000US36095,42,0,254
4/30/2020,Seneca,0500000US36099,39,1,0
4/30/2020,Allegany,0500000US36003,35,0,7
4/30/2020,Essex,0500000US36031,34,0,15
4/30/2020,Chautauqua,0500000US36013,33,1,66
4/30/2020,Cortland,0500000US36023,28,0,21
4/30/2020,Yates,0500000US36123,18,1,15
4/30/2020,Franklin,0500000US36033,15,0,2
4/30/2020,Lewis,0500000US36049,9,0,4
4/30/2020,Schuyler,0500000US36097,7,0,6
4/30/2020,Hamilton,0500000US36041,3,0,0
4/29/2020,Nassau,0500000US36059,35505,2077,1953
4/29/2020,Suffolk,0500000US36103,33265,1205,0
4/29/2020,Bronx,0500000US36005,32970,2465,1
4/29/2020,Kings,0500000US36047,32970,2465,10531
4/29/2020,New York City,0500000US36061,32970,2465,1
4/29/2020,Queens,0500000US36081,32970,2465,5785
4/29/2020,Richmond,0500000US36085,32970,2465,890
4/29/2020,Westchester,0500000US36119,28625,1119,0
