date,county,fips,confirmed,deaths
4/1/2020,Albany,0500000US36001,240,2
4/1/2020,Allegany,0500000US36003,10,1
4/1/2020,Broome,0500000US36007,42,4
4/1/2020,Cattaraugus,0500000US36009,7,0
4/1/2020,Cayuga,0500000US36011,3,0
4/1/2020,Chautauqua,0500000US36013,10,1
4/1/2020,Chemung,0500000US36015,22,0
4/1/2020,Chenango,0500000US36017,26,0
4/1/2020,Clinton,0500000US36019,25,0
4/1/2020,Columbia,0500000US36021,41,1
4/1/2020,Cortland,0500000US36023,10,0
4/1/2020,Delaware,0500000US36025,20,0
4/1/2020,Dutchess,0500000US36027,547,5
4/1/2020,Erie,0500000US36029,553,12
4/1/2020,Essex,0500000US36031,6,0
4/1/2020,Franklin,0500000US36033,9,0
4/1/2020,Fulton,0500000US36035,2,0
4/1/2020,Genesee,0500000US36037,13,1
4/1/2020,Greene,0500000US36039,18,0
4/1/2020,Hamilton,0500000US36041,2,0
4/1/2020,Herkimer,0500000US36043,16,2
4/1/2020,Jefferson,0500000US36045,12,0
4/1/2020,Lewis,0500000US36049,2,0
4/1/2020,Livingston,0500000US36051,14,0
4/1/2020,Madison,0500000US36053,67,2
4/1/2020,Monroe,0500000US36055,349,9
4/1/2020,Montgomery,0500000US36057,7,0
4/1/2020,Nassau,0500000US36059,9555,76
4/1/2020,New York City,0500000US,47440,1374
4/1/2020,Niagara,0500000US36063,46,0
4/1/2020,Oneida,0500000US36065,50,1
4/1/2020,Onondaga,0500000US36067,249,1
4/1/2020,Ontario,0500000US36069,24,0
4/1/2020,Orange,0500000US36071,1756,25
4/1/2020,Orleans,0500000US36073,6,0
4/1/2020,Oswego,0500000US36075,17,2
4/1/2020,Otsego,0500000US36077,19,1
4/1/2020,Putnam,0500000US36079,207,0
4/1/2020,Rensselaer,0500000US36083,60,0
4/1/2020,Rockland,0500000US36087,3321,29
4/1/2020,Saratoga,0500000US36091,122,1
4/1/2020,Schenectady,0500000US36093,93,0
4/1/2020,Schoharie,0500000US36095,8,0
4/1/2020,Schuyler,0500000US36097,2,0
4/1/2020,Seneca,0500000US36099,2,0
4/1/2020,St. Lawrence,0500000US36089,34,0
4/1/2020,Steuben,0500000US36101,38,0
4/1/2020,Suffolk,0500000US36103,7605,69
4/1/2020,Sullivan,0500000US36105,121,4
4/1/2020,Tioga,0500000US36107,7,0
4/1/2020,Tompkins,0500000US36109,68,0
4/1/2020,Ulster,0500000US36111,222,3
4/1/2020,Warren,0500000US36113,18,0
4/1/2020,Washington,0500000US36115,10,0
4/1/2020,Wayne,0500000US36117,24,0
4/1/2020,Westchester,0500000US36119,10683,25
4/1/2020,Wyoming,0500000US36121,10,1
4/2/2020,Albany,0500000US36001,253,2
4/2/2020,Allegany,0500000US36003,12,1
4/2/2020,Broome,0500000US36007,46,4
4/2/2020,Cattaraugus,0500000US36009,8,0
4/2/2020,Cayuga,0500000US36011,6,0
4/2/2020,Chautauqua,0500000US36013,10,1
4/2/2020,Chemung,0500000US36015,22,0
4/2/2020,Chenango,0500000US36017,28,0
4/2/2020,Clinton,0500000US36019,25,0
4/2/2020,Columbia,0500000US36021,41,2
4/2/2020,Cortland,0500000US36023,10,0
4/2/2020,Delaware,0500000US36025,23,1
4/2/2020,Dutchess,0500000US36027,667,9
4/2/2020,Erie,0500000US36029,734,19
4/2/2020,Essex,0500000US36031,6,0
4/2/2020,Franklin,0500000US36033,9,0
4/2/2020,Fulton,0500000US36035,6,0
4/2/2020,Genesee,0500000US36037,17,1
4/2/2020,Greene,0500000US36039,21,0
4/2/2020,Hamilton,0500000US36041,2,0
4/2/2020,Herkimer,0500000US36043,16,2
4/2/2020,Jefferson,0500000US36045,15,0
4/2/2020,Lewis,0500000US36049,3,0
4/2/2020,Livingston,0500000US36051,18,1
4/2/2020,Madison,0500000US36053,77,2
4/2/2020,Monroe,0500000US36055,420,10
4/2/2020,Montgomery,0500000US36057,8,0
4/2/2020,Nassau,0500000US36059,10587,95
4/2/2020,New York City,0500000US,51810,1562
4/2/2020,Niagara,0500000US36063,91,0
4/2/2020,Oneida,0500000US36065,68,1
4/2/2020,Onondaga,0500000US36067,301,2
4/2/2020,Ontario,0500000US36069,31,0
4/2/2020,Orange,0500000US36071,2048,30
4/2/2020,Orleans,0500000US36073,6,0
4/2/2020,Oswego,0500000US36075,28,2
4/2/2020,Otsego,0500000US36077,21,1
4/2/2020,Putnam,0500000US36079,236,0
4/2/2020,Rensselaer,0500000US36083,67,1
4/2/2020,Rockland,0500000US36087,3751,42
4/2/2020,Saratoga,0500000US36091,132,1
4/2/2020,Schenectady,0500000US36093,101,5
4/2/2020,Schoharie,0500000US36095,8,0
4/2/2020,Schuyler,0500000US36097,3,0
4/2/2020,Seneca,0500000US36099,5,0
4/2/2020,St. Lawrence,0500000US36089,42,0
4/2/2020,Steuben,0500000US36101,49,1
4/2/2020,Suffolk,0500000US36103,8746,84
4/2/2020,Sullivan,0500000US36105,156,5
4/2/2020,Tioga,0500000US36107,8,0
4/2/2020,Tompkins,0500000US36109,87,0
4/2/2020,Ulster,0500000US36111,243,3
4/2/2020,Warren,0500000US36113,19,0
4/2/2020,Washington,0500000US36115,13,0
4/2/2020,Wayne,0500000US36117,27,0
4/2/2020,Westchester,0500000US36119,11566,67
4/2/2020,Wyoming,0500000US36121,15,1
4/2/2020,Yates,0500000US36123,2,0
4/3/2020,Albany,0500000US36001,267,4
4/3/2020,Allegany,0500000US36003,12,1
4/3/2020,Broome,0500000US36007,46,4
4/3/2020,Cattaraugus,0500000US36009,8,0
4/3/2020,Cayuga,0500000US36011,6,0
4/3/2020,Chautauqua,0500000US36013,10,1
4/3/2020,Chemung,0500000US36015,22,0
4/3/2020,Chenango,0500000US36017,28,0
4/3/2020,Clinton,0500000US36019,25,0
4/3/2020,Columbia,0500000US36021,41,2
4/3/2020,Cortland,0500000US36023,10,0
4/3/2020,Delaware,0500000US36025,23,1
4/3/2020,Dutchess,0500000US36027,809,9
4/3/2020,Erie,0500000US36029,802,22
4/3/2020,Essex,0500000US36031,6,0
4/3/2020,Franklin,0500000US36033,9,0
4/3/2020,Fulton,0500000US36035,6,0
4/3/2020,Genesee,0500000US36037,17,1
4/3/2020,Greene,0500000US36039,21,0
4/3/2020,Hamilton,0500000US36041,2,0
4/3/2020,Herkimer,0500000US36043,16,2
4/3/2020,Jefferson,0500000US36045,15,0
4/3/2020,Lewis,0500000US36049,3,0
4/3/2020,Livingston,0500000US36051,18,1
4/3/2020,Madison,0500000US36053,77,2
4/3/2020,Monroe,0500000US36055,464,14
4/3/2020,Montgomery,0500000US36057,8,0
